LINE,count,variable,FARM_SOURCE,STRAIN
FL,46403,LINE,,
ML,25423,LINE,,
,8454,FARM_SOURCE,GP22,
,6293,FARM_SOURCE,GP11,
,5774,FARM_SOURCE,GP2,
,5614,FARM_SOURCE,GP8,
,5345,FARM_SOURCE,GP5,
,5261,FARM_SOURCE,GP20,
,4819,FARM_SOURCE,GP19,
,4741,FARM_SOURCE,GP1,
,4434,FARM_SOURCE,GP15,
,4388,FARM_SOURCE,GP12,
,4219,FARM_SOURCE,GP16,
,2698,FARM_SOURCE,GP23,
,2624,FARM_SOURCE,GP24,
,1735,FARM_SOURCE,GP18,
,1718,FARM_SOURCE,GP25,
,1622,FARM_SOURCE,GP14,
,1099,FARM_SOURCE,GP9,
,980,FARM_SOURCE,GP17,
,8,FARM_SOURCE,IMPD,
,45005,STRAIN,,IR
,26732,STRAIN,,CO
,89,STRAIN,,OTHER
