term,prior_mean_from_standardized_ols,prior_sd
Intercept,0.6073138111999169,0.1
AGE_CENTERED,-0.1371626709351541,0.1
AGE_CENTERED_SQ,-0.08138218216736448,0.1
AGE_CENTERED_CU,0.08671451589946766,0.1
S.P.,-0.03473824539806744,0.1
LINE_ML,-0.03274161043852615,0.1
FARM_SOURCE_GP11,0.0009121588544919148,0.1
FARM_SOURCE_GP12,-0.00650327515778976,0.1
FARM_SOURCE_GP14,-0.0041441671443183045,0.1
FARM_SOURCE_GP15,0.0020728937891982715,0.1
FARM_SOURCE_GP16,-0.01249183682363148,0.1
FARM_SOURCE_GP17,0.0024634012812908414,0.1
FARM_SOURCE_GP18,0.0051901398490913995,0.1
FARM_SOURCE_GP19,-0.002863092957307471,0.1
FARM_SOURCE_GP2,-0.016427348377300456,0.1
FARM_SOURCE_GP20,0.006031877592052831,0.1
FARM_SOURCE_GP22,-0.0070693166243549705,0.1
FARM_SOURCE_GP23,-0.004191747875290194,0.1
FARM_SOURCE_GP24,-0.0001060279295171075,0.1
FARM_SOURCE_GP25,-0.01784489394653378,0.1
FARM_SOURCE_GP5,-0.012240127828941825,0.1
FARM_SOURCE_GP8,0.0006264307000634297,0.1
FARM_SOURCE_GP9,0.008934834614970506,0.1
FARM_SOURCE_IMPD,0.0016809980215189552,0.1
STRAIN_IR,0.031827380811043936,0.1
STRAIN_OTHER,-0.004771378955653576,0.1
