term,estimate,robust_se_hc3,t_value_hc3,p_value_hc3,ci_95_low_hc3,ci_95_high_hc3
const,0.7633430428178204,0.0021153769992899424,360.854373983478,0.0,0.7591969101922962,0.7674891754433446
AGE_CENTERED,-0.012084778640406506,5.978311440729634e-05,-202.14367819772863,0.0,-0.012201953366794636,-0.011967603914018377
AGE_CENTERED_SQ,-0.0004957846195701967,4.228501060044899e-06,-117.24831388949264,0.0,-0.0005040724690684189,-0.0004874967700719744
AGE_CENTERED_CU,1.16751280477492e-05,1.9855210834969783e-07,58.80133001250484,0.0,1.1285966506061058e-05,1.2064289589437342e-05
S.P.,-0.008562072421659642,0.0001081058836146854,-79.20079958068578,0.0,-0.00877395963193773,-0.008350185211381554
LINE_ML,-0.06846920572533519,0.0008665069081430011,-79.01749551203301,0.0,-0.070167556687504,-0.06677085476316637
FARM_SOURCE_GP11,0.0032262147223567645,0.0020714742118128904,1.5574486536973495,0.11936840978552718,-0.0008338685703198952,0.007286298015033424
FARM_SOURCE_GP12,-0.02715364653628666,0.0021997395976103558,-12.34402770481765,5.693537441978798e-35,-0.031465129603546686,-0.022842163469026636
FARM_SOURCE_GP14,-0.027894115235340786,0.002635073698825947,-10.585705913185262,3.629340648254939e-26,-0.03305885184589787,-0.0227293786247837
FARM_SOURCE_GP15,0.008613044965719217,0.002154762136975028,3.9972138074649286,6.415638507553041e-05,0.004389717587499944,0.01283637234393849
FARM_SOURCE_GP16,-0.053126033108320696,0.0023193005675613606,-22.906057908734233,1.0533748481750441e-115,-0.05767185532099999,-0.0485802108956414
FARM_SOURCE_GP17,0.021234700449047437,0.0036050815399123757,5.890213637043994,3.87408556328146e-09,0.014168751355659742,0.028300649542435132
FARM_SOURCE_GP18,0.033804916976867355,0.0026418975099976242,12.79569583942632,1.9043672578323535e-37,0.028626805716714096,0.038983028237020614
FARM_SOURCE_GP19,-0.011444019246463656,0.0020435696317016305,-5.600014342028806,2.1511542743512538e-08,-0.01544940964513623,-0.007438628847791084
FARM_SOURCE_GP2,-0.06041819863812069,0.0020960432003682807,-28.824882343791884,1.1432162122995461e-181,-0.06452643707527506,-0.05630996020096632
FARM_SOURCE_GP20,0.02315139057090834,0.0019500902661794735,11.871958427988808,1.7755947137631426e-32,0.019329219450565264,0.026973561691251414
FARM_SOURCE_GP22,-0.02193710359673475,0.0018444281589006118,-11.893715399471326,1.3693086875364915e-32,-0.025552177301147908,-0.018322029892321595
FARM_SOURCE_GP23,-0.022045952397237587,0.0026686171296217867,-8.261189719771483,1.4665341457438186e-16,-0.02727643403236539,-0.016815470762109784
FARM_SOURCE_GP24,-0.0005651460850876176,0.002285611693870682,-0.24726251033942823,0.8047057774891518,-0.005044938205554995,0.00391464603537976
FARM_SOURCE_GP25,-0.11678855464036161,0.0038146070797524722,-30.61614268485549,1.55933786618372e-204,-0.12426517316851352,-0.10931193611220971
FARM_SOURCE_GP5,-0.04663854660416776,0.0021637916023368774,-21.554084299892146,1.0277896591025468e-102,-0.05087957170763429,-0.04239752150070123
FARM_SOURCE_GP8,0.0023337275722249157,0.002199117775975718,1.061210817228501,0.28859767402229397,-0.0019765367264810915,0.006643991870930923
FARM_SOURCE_GP9,0.07279084055716814,0.0023351966565072642,31.171182244685482,6.855179422382709e-212,0.06821386205744452,0.07736781905689176
FARM_SOURCE_IMPD,0.1592895321331249,0.04527339778904206,3.5183913713602304,0.0004344397720976753,0.07055380715148202,0.2480252571147678
STRAIN_IR,0.06579830643067573,0.000996339033308188,66.04007695272436,0.0,0.06384548488942375,0.06775112797192771
STRAIN_OTHER,-0.1356310060701496,0.016374095787187102,-8.283266925571686,1.2187852242829147e-16,-0.16772418510135956,-0.10353782703893964
